date,voie,date,voie
2019-01,alleedumanoir,1,1
2019-01,alleemahatmagandhi,1,1
2019-01,alleemermoz,1,1
2019-01,alsacelorrained,1,1
2019-01,argelessurmeravenued,1,1
2019-01,arrasrued,1,1
2019-01,avandremaginot,1,1
2019-01,avberthelot,1,1
2019-01,avechomedeydemaisonneuve,1,1
2019-01,avedeseyquems,1,1
2019-01,avenuecervantes,1,1
2019-01,avenuedaumesnil,1,1
2019-01,avenuedelamandier,1,1
2019-01,avenuedelamottepicquet,1,1
2019-01,avenuedelaportedechoisy,1,1
2019-01,avenuedelaportedeclichy,1,1
2019-01,avenuedepalavas,1,1
2019-01,avenuedeparis,1,1
2019-01,avenuedepernay,1,1
2019-01,avenuedereims,1,1
2019-01,avenuedesalanque,1,1
2019-01,avenuedesnations,1,1
2019-01,avenueditalie,1,1
2019-01,avenuedulanguedoc,1,1
2019-01,avenuedupolygone,1,1
2019-01,avenuefelixeboue,1,1
2019-01,avenuejeanjaures,1,1
2019-01,avenuejeanxxiii,1,1
2019-01,avenuemariereynoard,1,1
2019-01,avenuemendesfrance,1,1
2019-01,avenuepaulverlaine,1,1
2019-01,avenueracine,1,1
2019-01,avenueraymondpoincare,1,1
2019-01,avenuesimonbolivar,1,1
2019-01,avfelixfaure,1,1
2019-01,avmenelotte,1,1
2019-01,bdalberter,1,1
2019-01,bdchurchillwinston,1,1
2019-01,bdmarechaljuin,1,1
2019-01,bdmarechalleclerc,1,1
2019-01,bdmatabiau,1,1
2019-01,begonrondpointetrue,1,1
2019-01,birgeboulevard,1,1
2019-01,boulevardbarbes,1,1
2019-01,boulevardbourrely,1,1
2019-01,boulevarddelaboutiere,1,1
2019-01,boulevarddelamayolle,1,1
2019-01,boulevarddelattredetassigny,1,1
2019-01,boulevarddelhopital,1,1
2019-01,boulevarddiderot,1,1
2019-01,boulevarddutemple,1,1
2019-01,boulevardfredericmistral,2,2
2019-01,boulevardjoffre,1,1
2019-01,boulevardmorland,1,1
2019-01,boulevardney,1,1
2019-01,boulevardpreplantin,1,1
2019-01,boulevardsaintmichel,1,1
2019-01,boulevardverddesaintjulien,1,1
2019-01,brossecheminedela,1,1
2019-01,canalsaintmartin,1,1
2019-01,chausseejulescesar,1,1
2019-01,cheminducentre,1,1
2019-01,cheminsaintleonard,1,1
2019-01,coursgaylussac,1,1
2019-01,crepeauavenuemichel,1,1
2019-01,crsdalbret,1,1
2019-01,crsdelyser,1,1
2019-01,deaetaporte,1,1
2019-01,delattredetassigny,1,1
2019-01,descharmettes,1,1
2019-01,desetatsunis,1,1
2019-01,francoismitterand,1,1
2019-01,genetrocadeacotedebeautecours,1,1
2019-01,girardotrue,1,1
2019-01,impasseetruedusgtblandan,1,1
