,voie,ame_d,date,n_accidents
0,alleedelongchamp,VOIE SECURISEE,2021-09,0
1,alleedelongchamp,VOIE SECURISEE,2021-02,0
2,alleedelongchamp,VOIE SECURISEE,2020-09,0
3,alleedelongchamp,VOIE SECURISEE,2019-11,1
4,alleedelongchamp,VOIE SECURISEE,2021-01,0
5,alleedelongchamp,VOIE SECURISEE,2021-08,0
6,alleedelongchamp,VOIE SECURISEE,2019-03,0
7,alleedelongchamp,VOIE SECURISEE,2020-05,0
8,alleedelongchamp,VOIE SECURISEE,2020-04,0
9,alleedelongchamp,VOIE SECURISEE,2019-01,0
10,alleedelongchamp,VOIE SECURISEE,2021-07,1
11,alleedelongchamp,VOIE SECURISEE,2021-03,0
12,alleedelongchamp,VOIE SECURISEE,2019-04,0
13,alleedelongchamp,VOIE SECURISEE,2019-02,0
14,alleedelongchamp,VOIE SECURISEE,2021-12,0
15,alleedelongchamp,VOIE SECURISEE,2019-05,0
16,alleedelongchamp,VOIE SECURISEE,2020-12,0
17,alleedelongchamp,VOIE SECURISEE,2020-07,0
18,alleedelongchamp,VOIE SECURISEE,2021-05,2
19,alleedelongchamp,VOIE SECURISEE,2021-11,0
20,alleedelongchamp,VOIE SECURISEE,2020-11,0
21,alleedelongchamp,VOIE SECURISEE,2020-02,0
22,alleedelongchamp,VOIE SECURISEE,2021-10,1
23,alleedelongchamp,VOIE SECURISEE,2020-10,0
24,alleedelongchamp,VOIE SECURISEE,2020-06,0
25,alleedelongchamp,VOIE SECURISEE,2021-06,0
26,alleedelongchamp,VOIE SECURISEE,2019-08,0
27,alleedelongchamp,VOIE SECURISEE,2020-03,0
28,alleedelongchamp,VOIE SECURISEE,2019-07,0
29,alleedelongchamp,VOIE SECURISEE,2020-01,0
30,alleedelongchamp,VOIE SECURISEE,2019-12,0
31,alleedelongchamp,VOIE SECURISEE,2021-04,0
32,alleedelongchamp,VOIE SECURISEE,2019-09,1
33,alleedelongchamp,VOIE SECURISEE,2019-06,0
34,alleedelongchamp,VOIE SECURISEE,2019-10,0
35,alleedelongchamp,VOIE SECURISEE,2020-08,0
36,alleevivaldi,VOIE SECURISEE,2021-11,0
37,alleevivaldi,VOIE SECURISEE,2020-04,0
38,alleevivaldi,VOIE SECURISEE,2020-06,0
39,alleevivaldi,VOIE SECURISEE,2019-12,0
40,alleevivaldi,VOIE SECURISEE,2019-02,0
41,alleevivaldi,VOIE SECURISEE,2021-12,0
42,alleevivaldi,VOIE SECURISEE,2021-09,0
43,alleevivaldi,VOIE SECURISEE,2021-03,0
44,alleevivaldi,VOIE SECURISEE,2019-06,0
45,alleevivaldi,VOIE SECURISEE,2020-09,0
46,alleevivaldi,VOIE SECURISEE,2020-12,0
47,alleevivaldi,VOIE SECURISEE,2020-10,0
48,alleevivaldi,VOIE SECURISEE,2021-04,0
49,alleevivaldi,VOIE SECURISEE,2020-08,0
50,alleevivaldi,VOIE SECURISEE,2019-11,0
51,alleevivaldi,VOIE SECURISEE,2021-01,0
52,alleevivaldi,VOIE SECURISEE,2020-03,0
53,alleevivaldi,VOIE SECURISEE,2020-05,0
54,alleevivaldi,VOIE SECURISEE,2020-01,0
55,alleevivaldi,VOIE SECURISEE,2020-07,0
56,alleevivaldi,VOIE SECURISEE,2019-05,0
57,alleevivaldi,VOIE SECURISEE,2019-04,0
58,alleevivaldi,VOIE SECURISEE,2021-05,0
59,alleevivaldi,VOIE SECURISEE,2019-07,0
60,alleevivaldi,VOIE SECURISEE,2019-01,0
61,alleevivaldi,VOIE SECURISEE,2019-08,0
62,alleevivaldi,VOIE SECURISEE,2021-08,1
63,alleevivaldi,VOIE SECURISEE,2021-07,0
64,alleevivaldi,VOIE SECURISEE,2021-10,0
65,alleevivaldi,VOIE SECURISEE,2021-02,0
66,alleevivaldi,VOIE SECURISEE,2019-09,0
67,alleevivaldi,VOIE SECURISEE,2019-10,0
68,alleevivaldi,VOIE SECURISEE,2021-06,0
69,alleevivaldi,VOIE SECURISEE,2020-02,0
70,alleevivaldi,VOIE SECURISEE,2020-11,0
71,alleevivaldi,VOIE SECURISEE,2019-03,0
72,avenueclaudevellefaux,AUCUN,2020-02,0
73,avenueclaudevellefaux,AUCUN,2019-05,0
74,avenueclaudevellefaux,AUCUN,2019-07,0
75,avenueclaudevellefaux,AUCUN,2021-02,0
76,avenueclaudevellefaux,AUCUN,2021-01,0
77,avenueclaudevellefaux,AUCUN,2019-02,0
78,avenueclaudevellefaux,AUCUN,2021-04,1
79,avenueclaudevellefaux,AUCUN,2020-10,0
80,avenueclaudevellefaux,AUCUN,2021-03,0
81,avenueclaudevellefaux,AUCUN,2020-11,0
82,avenueclaudevellefaux,AUCUN,2021-06,0
83,avenueclaudevellefaux,AUCUN,2021-12,0
84,avenueclaudevellefaux,AUCUN,2021-09,0
85,avenueclaudevellefaux,AUCUN,2020-05,0
86,avenueclaudevellefaux,AUCUN,2020-01,0
87,avenueclaudevellefaux,AUCUN,2020-07,0
88,avenueclaudevellefaux,AUCUN,2020-03,0
89,avenueclaudevellefaux,AUCUN,2019-12,0
90,avenueclaudevellefaux,AUCUN,2019-06,0
91,avenueclaudevellefaux,AUCUN,2020-12,0
92,avenueclaudevellefaux,AUCUN,2020-08,0
93,avenueclaudevellefaux,AUCUN,2019-09,0
94,avenueclaudevellefaux,AUCUN,2019-01,0
95,avenueclaudevellefaux,AUCUN,2019-10,0
96,avenueclaudevellefaux,AUCUN,2019-04,0
97,avenueclaudevellefaux,AUCUN,2021-08,0
98,avenueclaudevellefaux,AUCUN,2021-10,0
99,avenueclaudevellefaux,AUCUN,2020-04,0
100,avenueclaudevellefaux,AUCUN,2020-06,0
101,avenueclaudevellefaux,AUCUN,2020-09,0
102,avenueclaudevellefaux,AUCUN,2021-05,0
103,avenueclaudevellefaux,AUCUN,2019-08,0
104,avenueclaudevellefaux,AUCUN,2021-07,0
105,avenueclaudevellefaux,AUCUN,2019-11,0
106,avenueclaudevellefaux,AUCUN,2021-11,0
107,avenueclaudevellefaux,AUCUN,2019-03,0
108,avenuecorentincariou,MOINS SECURISEE,2019-06,1
109,avenuecorentincariou,MOINS SECURISEE,2020-07,0
110,avenuecorentincariou,MOINS SECURISEE,2020-10,0
111,avenuecorentincariou,MOINS SECURISEE,2019-04,0
112,avenuecorentincariou,MOINS SECURISEE,2021-04,0
113,avenuecorentincariou,MOINS SECURISEE,2019-08,0
114,avenuecorentincariou,MOINS SECURISEE,2020-02,0
115,avenuecorentincariou,MOINS SECURISEE,2021-06,0
116,avenuecorentincariou,MOINS SECURISEE,2020-04,0
117,avenuecorentincariou,MOINS SECURISEE,2020-03,0
118,avenuecorentincariou,MOINS SECURISEE,2020-05,0
119,avenuecorentincariou,MOINS SECURISEE,2020-12,0
120,avenuecorentincariou,MOINS SECURISEE,2021-03,0
121,avenuecorentincariou,MOINS SECURISEE,2019-05,0
122,avenuecorentincariou,MOINS SECURISEE,2021-11,0
123,avenuecorentincariou,MOINS SECURISEE,2019-07,1
124,avenuecorentincariou,MOINS SECURISEE,2020-08,0
125,avenuecorentincariou,MOINS SECURISEE,2019-11,0
126,avenuecorentincariou,MOINS SECURISEE,2019-02,0
127,avenuecorentincariou,MOINS SECURISEE,2021-07,0
128,avenuecorentincariou,MOINS SECURISEE,2019-10,0
129,avenuecorentincariou,MOINS SECURISEE,2021-12,1
130,avenuecorentincariou,MOINS SECURISEE,2019-03,0
131,avenuecorentincariou,MOINS SECURISEE,2019-09,0
132,avenuecorentincariou,MOINS SECURISEE,2021-05,0
133,avenuecorentincariou,MOINS SECURISEE,2020-01,0
134,avenuecorentincariou,MOINS SECURISEE,2021-01,0
135,avenuecorentincariou,MOINS SECURISEE,2021-10,0
136,avenuecorentincariou,MOINS SECURISEE,2021-02,0
137,avenuecorentincariou,MOINS SECURISEE,2021-08,0
138,avenuecorentincariou,MOINS SECURISEE,2019-12,0
139,avenuecorentincariou,MOINS SECURISEE,2020-11,0
140,avenuecorentincariou,MOINS SECURISEE,2020-06,0
141,avenuecorentincariou,MOINS SECURISEE,2019-01,0
142,avenuecorentincariou,MOINS SECURISEE,2020-09,0
143,avenuecorentincariou,MOINS SECURISEE,2021-09,0
144,avenuedaumesnil,VOIE SECURISEE,2021-06,0
145,avenuedaumesnil,VOIE SECURISEE,2021-05,0
146,avenuedaumesnil,VOIE SECURISEE,2019-05,0
147,avenuedaumesnil,VOIE SECURISEE,2020-12,0
148,avenuedaumesnil,VOIE SECURISEE,2019-09,1
149,avenuedaumesnil,VOIE SECURISEE,2019-10,1
150,avenuedaumesnil,VOIE SECURISEE,2020-03,0
151,avenuedaumesnil,VOIE SECURISEE,2021-07,0
152,avenuedaumesnil,VOIE SECURISEE,2019-08,0
153,avenuedaumesnil,VOIE SECURISEE,2019-06,0
154,avenuedaumesnil,VOIE SECURISEE,2020-10,0
155,avenuedaumesnil,VOIE SECURISEE,2019-01,1
156,avenuedaumesnil,VOIE SECURISEE,2019-12,1
157,avenuedaumesnil,VOIE SECURISEE,2020-06,0
158,avenuedaumesnil,VOIE SECURISEE,2019-11,0
159,avenuedaumesnil,VOIE SECURISEE,2020-01,0
160,avenuedaumesnil,VOIE SECURISEE,2020-11,0
161,avenuedaumesnil,VOIE SECURISEE,2021-04,1
162,avenuedaumesnil,VOIE SECURISEE,2020-07,0
163,avenuedaumesnil,VOIE SECURISEE,2019-07,0
164,avenuedaumesnil,VOIE SECURISEE,2021-02,0
165,avenuedaumesnil,VOIE SECURISEE,2020-09,0
166,avenuedaumesnil,VOIE SECURISEE,2020-04,0
167,avenuedaumesnil,VOIE SECURISEE,2021-12,2
168,avenuedaumesnil,VOIE SECURISEE,2021-08,0
169,avenuedaumesnil,VOIE SECURISEE,2020-05,0
170,avenuedaumesnil,VOIE SECURISEE,2021-10,1
171,avenuedaumesnil,VOIE SECURISEE,2021-03,1
172,avenuedaumesnil,VOIE SECURISEE,2020-02,0
173,avenuedaumesnil,VOIE SECURISEE,2021-11,0
174,avenuedaumesnil,VOIE SECURISEE,2020-08,0
175,avenuedaumesnil,VOIE SECURISEE,2019-02,0
176,avenuedaumesnil,VOIE SECURISEE,2021-09,1
177,avenuedaumesnil,VOIE SECURISEE,2021-01,1
178,avenuedaumesnil,VOIE SECURISEE,2019-03,0
179,avenuedaumesnil,VOIE SECURISEE,2019-04,1
180,avenuedavidweill,MOINS SECURISEE,2019-06,0
181,avenuedavidweill,MOINS SECURISEE,2021-02,0
182,avenuedavidweill,MOINS SECURISEE,2020-05,0
183,avenuedavidweill,MOINS SECURISEE,2020-10,0
184,avenuedavidweill,MOINS SECURISEE,2019-10,0
185,avenuedavidweill,MOINS SECURISEE,2019-04,0
186,avenuedavidweill,MOINS SECURISEE,2021-07,0
187,avenuedavidweill,MOINS SECURISEE,2021-12,1
188,avenuedavidweill,MOINS SECURISEE,2019-02,0
189,avenuedavidweill,MOINS SECURISEE,2019-11,0
190,avenuedavidweill,MOINS SECURISEE,2019-08,0
191,avenuedavidweill,MOINS SECURISEE,2020-02,0
192,avenuedavidweill,MOINS SECURISEE,2021-06,0
193,avenuedavidweill,MOINS SECURISEE,2020-03,0
194,avenuedavidweill,MOINS SECURISEE,2020-01,0
195,avenuedavidweill,MOINS SECURISEE,2021-08,0
196,avenuedavidweill,MOINS SECURISEE,2021-05,0
