Identifiant du compteur,voie,Identifiant du site de comptage,Nom du site de comptage,Comptage horaire,date,Date d'installation du site de comptage,Lien vers photo du site de comptage,Coordonnées géographiques,id_compteur,nom_compteur,id,sum_counts,installation_date,url_photos_n1,coordinates,counter,photos,test_lien_vers_photos_du_site_de_comptage_,id_photo_1,url_sites,type_dimage,mois_annee_comptage,Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh,id_vehicule,motor,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,vma
100050132-SC,boulevardsaintgermain,100050132.0,243 Boulevard Saint Germain NO-SE,72.0,2019-08-31T17:00:00+00:00,2018-12-13,https://www.eco-visio.net/Photos/100050132/15765763964200.jpg,"48.86179,2.32014",,,,,,,,,,,,,,,201900039265,2.0,1,,0.0,1.0,0.0,7.0,A01,138 232 263,5.0,2019,8,31,17:37,1,2,2,1.0,6.0,75105,BOULEVARD SAINT GERMAIN,,"48,8513880","2,3431830",75,4,0.0,,1.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,85.0,2019-07-11T08:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900053881,2.0,1,,0.0,2.0,3.0,15.0,B01,138 204 698,5.0,2019,7,11,08:30,1,2,4,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8414330","2,2691570",75,4,0.0,,2.0,3.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,200.0,2019-07-11T08:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900053881,2.0,1,,0.0,2.0,3.0,15.0,B01,138 204 698,5.0,2019,7,11,08:30,1,2,4,1.0,3.0,75116,VOIE GEORGES POMPIDOU,,"48,8414330","2,2691570",75,4,0.0,,2.0,3.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,152.0,2019-03-13T20:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900021893,2.0,1,,0.0,2.0,2.0,1.0,A01,138 265 400,5.0,2019,3,13,20:15,5,2,2,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8597500","2,3768410",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,103.0,2019-03-13T20:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900021893,2.0,1,,0.0,2.0,2.0,1.0,A01,138 265 400,5.0,2019,3,13,20:15,5,2,2,1.0,3.0,75111,BOULEVARD VOLTAIRE,,"48,8597500","2,3768410",75,4,0.0,,2.0,4.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100044493-SC,boulevardvoltaire,100044493.0,67 boulevard Voltaire SE-NO,311.0,2019-06-04T09:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044493/15302602919700.jpg,"48.86149,2.37376",,,,,,,,,,,,,,,201900018000,2.0,1,,0.0,1.0,1.0,21.0,A01,138 272 758,5.0,2019,6,4,09:10,1,2,2,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8651810","2,3677300",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100044506-SC,boulevardvoltaire,100044506.0,72 boulevard Voltaire NO-SE,152.0,2019-06-04T09:00:00+00:00,2018-06-27,https://www.eco-visio.net/Photos/100044506/15302610479460.jpg,"48.86155,2.37407",,,,,,,,,,,,,,,201900018000,2.0,1,,0.0,1.0,1.0,21.0,A01,138 272 758,5.0,2019,6,4,09:10,1,2,2,2.0,6.0,75111,BOULEVARD VOLTAIRE,,"48,8651810","2,3677300",75,4,0.0,,2.0,2.0,0,0,1.0,1.0,1.0,,,1.0,0.0,5.0,,50.0
100042374-109042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,85.0,2019-09-28T18:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900044714,1.0,1,,0.0,2.0,2.0,2.0,B01,138 222 032,5.0,2019,9,28,18:30,1,2,1,1.0,2.0,75116,VOIE GEORGES POMPIDOU,,"48,8492730","2,2767820",75,4,0.0,,1.0,4.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100042374-110042374,voiegeorgespompidou,100042374.0,Voie Georges Pompidou,40.0,2019-09-28T18:00:00+00:00,2017-12-15,https://www.eco-visio.net/Photos/100042374/15172173000772.jpg,"48.848399,2.275932",,,,,,,,,,,,,,,201900044714,1.0,1,,0.0,2.0,2.0,2.0,B01,138 222 032,5.0,2019,9,28,18:30,1,2,1,1.0,2.0,75116,VOIE GEORGES POMPIDOU,,"48,8492730","2,2767820",75,4,0.0,,1.0,4.0,0,0,-1.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
100036719-103036719,quaidelhoteldeville,100036719.0,18 quai de l'hotel de ville,16.0,2019-10-27T01:00:00+00:00,2017-07-12,https://www.eco-visio.net/Photos/100036719/14997911938171.jpg,"48.85372,2.35702",,,,,,,,,,,,,,,201900053551,2.0,1,,0.0,2.0,1.0,15.0,A01,138 205 359,5.0,2019,10,27,01:20,5,2,3,1.0,3.0,75104,QUAI DE L HOTEL DE VILLE,,"48,8553251","2,3527582",75,4,0.0,,2.0,2.0,0,0,0.0,1.0,1.0,,,1.0,0.0,1.0,,50.0
