voie,date,n_accidents,flux,categorie
avenuedaumesnil,2019-01,1.0,27243.0,VOIE SECURISEE
avenuedaumesnil,2019-02,0.0,29996.0,VOIE SECURISEE
avenuedaumesnil,2019-03,0.0,32998.0,VOIE SECURISEE
avenuedaumesnil,2019-04,1.0,37451.0,VOIE SECURISEE
avenuedaumesnil,2019-05,0.0,36827.0,VOIE SECURISEE
avenuedaumesnil,2019-06,0.0,39906.0,VOIE SECURISEE
avenuedaumesnil,2019-07,0.0,42697.0,VOIE SECURISEE
avenuedaumesnil,2019-08,0.0,35320.0,VOIE SECURISEE
avenuedaumesnil,2019-09,1.0,47573.0,VOIE SECURISEE
avenuedaumesnil,2019-10,1.0,35836.0,VOIE SECURISEE
avenuedaumesnil,2019-11,0.0,3429.0,VOIE SECURISEE
avenuedaumesnil,2019-12,1.0,12477.0,VOIE SECURISEE
avenuedaumesnil,2020-01,0.0,41118.0,VOIE SECURISEE
avenuedaumesnil,2020-02,0.0,26858.0,VOIE SECURISEE
avenuedaumesnil,2020-03,0.0,20779.0,VOIE SECURISEE
avenuedaumesnil,2020-04,0.0,8397.0,VOIE SECURISEE
avenuedaumesnil,2020-05,0.0,48039.0,VOIE SECURISEE
avenuedaumesnil,2020-06,0.0,62071.0,VOIE SECURISEE
avenuedaumesnil,2020-07,0.0,59987.0,VOIE SECURISEE
avenuedaumesnil,2020-08,0.0,42250.0,VOIE SECURISEE
avenuedaumesnil,2020-09,0.0,70688.0,VOIE SECURISEE
avenuedaumesnil,2020-10,0.0,50171.0,VOIE SECURISEE
avenuedaumesnil,2020-11,0.0,33765.0,VOIE SECURISEE
avenuedaumesnil,2020-12,0.0,32663.0,VOIE SECURISEE
avenuedaumesnil,2021-01,1.0,33977.0,VOIE SECURISEE
avenuedaumesnil,2021-02,0.0,33245.0,VOIE SECURISEE
avenuedaumesnil,2021-03,1.0,47797.0,VOIE SECURISEE
avenuedaumesnil,2021-04,1.0,47724.0,VOIE SECURISEE
avenuedaumesnil,2021-05,0.0,45684.0,VOIE SECURISEE
avenuedaumesnil,2021-06,0.0,57920.0,VOIE SECURISEE
avenuedaumesnil,2021-07,0.0,48347.0,VOIE SECURISEE
avenuedaumesnil,2021-08,0.0,38376.0,VOIE SECURISEE
avenuedaumesnil,2021-09,1.0,62274.0,VOIE SECURISEE
avenuedaumesnil,2021-10,1.0,53275.0,VOIE SECURISEE
avenuedaumesnil,2021-11,0.0,43586.0,VOIE SECURISEE
avenuedaumesnil,2021-12,2.0,35039.0,VOIE SECURISEE
avenuedeflandre,2019-11,0.0,24534.0,MOINS SECURISEE
avenuedeflandre,2019-12,2.0,64342.0,MOINS SECURISEE
avenuedeflandre,2020-01,0.0,67768.0,MOINS SECURISEE
avenuedeflandre,2020-02,0.0,37315.0,MOINS SECURISEE
avenuedeflandre,2020-03,0.0,25222.0,MOINS SECURISEE
avenuedeflandre,2020-04,0.0,13189.0,MOINS SECURISEE
avenuedeflandre,2020-05,0.0,45603.0,MOINS SECURISEE
avenuedeflandre,2020-06,0.0,66329.0,MOINS SECURISEE
avenuedeflandre,2020-07,0.0,66107.0,MOINS SECURISEE
avenuedeflandre,2020-08,0.0,49670.0,MOINS SECURISEE
avenuedeflandre,2020-09,0.0,74525.0,MOINS SECURISEE
avenuedeflandre,2020-10,0.0,57578.0,MOINS SECURISEE
avenuedeflandre,2020-11,0.0,40867.0,MOINS SECURISEE
avenuedeflandre,2020-12,0.0,38572.0,MOINS SECURISEE
avenuedeflandre,2021-01,0.0,39330.0,MOINS SECURISEE
avenuedeflandre,2021-02,0.0,37416.0,MOINS SECURISEE
avenuedeflandre,2021-03,1.0,51190.0,MOINS SECURISEE
avenuedeflandre,2021-04,0.0,48549.0,MOINS SECURISEE
avenuedeflandre,2021-05,1.0,52095.0,MOINS SECURISEE
avenuedeflandre,2021-06,0.0,64429.0,MOINS SECURISEE
avenuedeflandre,2021-07,1.0,55689.0,MOINS SECURISEE
avenuedeflandre,2021-08,0.0,44744.0,MOINS SECURISEE
avenuedeflandre,2021-09,0.0,70015.0,MOINS SECURISEE
avenuedeflandre,2021-10,2.0,63879.0,MOINS SECURISEE
avenuedeflandre,2021-11,0.0,56047.0,MOINS SECURISEE
avenuedeflandre,2021-12,0.0,45852.5,MOINS SECURISEE
avenuedenfertrochereau,2019-01,0.0,13954.5,MOINS SECURISEE
avenuedenfertrochereau,2019-02,0.0,19929.5,MOINS SECURISEE
avenuedenfertrochereau,2019-03,0.0,21959.0,MOINS SECURISEE
avenuedenfertrochereau,2019-04,0.0,20773.5,MOINS SECURISEE
avenuedenfertrochereau,2019-05,0.0,20700.5,MOINS SECURISEE
avenuedenfertrochereau,2019-06,0.0,19983.5,MOINS SECURISEE
avenuedenfertrochereau,2019-07,0.0,19831.0,MOINS SECURISEE
avenuedenfertrochereau,2019-08,0.0,16022.0,MOINS SECURISEE
avenuedenfertrochereau,2019-09,0.0,24585.0,MOINS SECURISEE
avenuedenfertrochereau,2019-10,0.0,20361.5,MOINS SECURISEE
avenuedenfertrochereau,2019-11,0.0,17064.0,MOINS SECURISEE
avenuedenfertrochereau,2019-12,0.0,34800.5,MOINS SECURISEE
avenuedenfertrochereau,2020-01,0.0,32233.0,MOINS SECURISEE
avenuedenfertrochereau,2020-02,0.0,18150.5,MOINS SECURISEE
avenuedenfertrochereau,2020-03,0.0,13423.0,MOINS SECURISEE
avenuedenfertrochereau,2020-04,0.0,5486.0,MOINS SECURISEE
avenuedenfertrochereau,2020-05,0.0,26330.5,MOINS SECURISEE
avenuedenfertrochereau,2020-06,0.0,39288.0,MOINS SECURISEE
avenuedenfertrochereau,2020-07,1.0,36638.5,MOINS SECURISEE
avenuedenfertrochereau,2020-08,0.0,26337.0,MOINS SECURISEE
avenuedenfertrochereau,2020-09,0.0,44716.5,MOINS SECURISEE
avenuedenfertrochereau,2020-10,0.0,32186.5,MOINS SECURISEE
avenuedenfertrochereau,2020-11,0.0,19373.5,MOINS SECURISEE
avenuedenfertrochereau,2020-12,0.0,18054.0,MOINS SECURISEE
avenuedenfertrochereau,2021-01,0.0,19961.5,MOINS SECURISEE
avenuedenfertrochereau,2021-02,0.0,18639.5,MOINS SECURISEE
avenuedenfertrochereau,2021-03,2.0,26305.0,MOINS SECURISEE
avenuedenfertrochereau,2021-04,0.0,26525.5,MOINS SECURISEE
avenuedenfertrochereau,2021-05,0.0,30713.5,MOINS SECURISEE
avenuedenfertrochereau,2021-06,0.0,43383.5,MOINS SECURISEE
avenuedenfertrochereau,2021-07,0.0,26419.0,MOINS SECURISEE
avenuedenfertrochereau,2021-08,0.0,30574.5,MOINS SECURISEE
avenuedenfertrochereau,2021-09,0.0,52471.0,MOINS SECURISEE
avenuedenfertrochereau,2021-10,1.0,46469.5,MOINS SECURISEE
avenuedenfertrochereau,2021-11,0.0,39476.5,MOINS SECURISEE
avenuedenfertrochereau,2021-12,0.0,31211.0,MOINS SECURISEE
avenuedeschampselysees,2019-10,0.0,1386.0,AUCUN
avenuedeschampselysees,2019-11,0.0,19875.0,AUCUN
avenuedeschampselysees,2019-12,1.0,38826.0,AUCUN
avenuedeschampselysees,2020-01,0.0,37536.0,AUCUN
avenuedeschampselysees,2020-02,0.0,23875.5,AUCUN
avenuedeschampselysees,2020-03,0.0,16593.5,AUCUN
avenuedeschampselysees,2020-04,0.0,5366.0,AUCUN
avenuedeschampselysees,2020-05,0.0,39806.0,AUCUN
avenuedeschampselysees,2020-06,0.0,59773.5,AUCUN
avenuedeschampselysees,2020-07,0.0,63778.5,AUCUN
avenuedeschampselysees,2020-08,0.0,45547.5,AUCUN
avenuedeschampselysees,2020-09,0.0,70528.0,AUCUN
avenuedeschampselysees,2020-10,0.0,51833.0,AUCUN
avenuedeschampselysees,2020-11,0.0,29932.5,AUCUN
avenuedeschampselysees,2020-12,0.0,32015.0,AUCUN
avenuedeschampselysees,2021-01,0.0,32636.5,AUCUN
avenuedeschampselysees,2021-02,0.0,32299.5,AUCUN
avenuedeschampselysees,2021-03,0.0,46341.0,AUCUN
avenuedeschampselysees,2021-04,0.0,43672.0,AUCUN
avenuedeschampselysees,2021-05,1.0,45322.5,AUCUN
avenuedeschampselysees,2021-06,1.0,62405.5,AUCUN
avenuedeschampselysees,2021-07,2.0,56748.5,AUCUN
avenuedeschampselysees,2021-08,0.0,48377.5,AUCUN
avenuedeschampselysees,2021-09,0.0,89998.0,AUCUN
avenuedeschampselysees,2021-10,0.0,71283.0,AUCUN
avenuedeschampselysees,2021-11,0.0,54263.5,AUCUN
avenuedeschampselysees,2021-12,1.0,41987.25,AUCUN
boulevardaugusteblanqui,2019-01,0.0,9489.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-02,0.0,10199.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-03,0.0,11614.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-04,0.0,11794.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-05,0.0,12342.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-06,0.0,13495.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-07,1.0,16284.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-08,0.0,13041.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-09,0.0,19231.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-10,0.0,16681.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-11,1.0,14027.0,VOIE SECURISEE
boulevardaugusteblanqui,2019-12,0.0,30210.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-01,0.0,27975.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-02,0.0,15079.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-03,0.0,11841.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-04,0.0,7602.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-05,0.0,20043.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-06,0.0,27701.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-07,0.0,26752.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-08,0.0,18684.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-09,0.0,30300.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-10,0.0,22627.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-11,0.0,15198.0,VOIE SECURISEE
boulevardaugusteblanqui,2020-12,0.0,13892.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-01,0.0,14990.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-02,0.0,12212.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-03,0.0,18341.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-04,0.0,17282.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-05,0.0,18555.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-06,1.0,24542.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-07,0.0,20364.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-08,0.0,16153.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-09,0.0,26822.0,VOIE SECURISEE
boulevardaugusteblanqui,2021-10,0.0,22311.0,VOIE SECURISEE
