,adr,ame_d,count_accidents
0,ALLEE DE LONGCHAMP,VOIE SECURISEE,4
1,ALLEE VIVALDI,VOIE SECURISEE,1
2,ALSACE (RUE) N°1 A 17 ET 2 A 18,MOINS SECURISEE,2
3,ANA. FRANCE(RUE)1A75 ET 2A72,VOIE SECURISEE,1
4,ARISTIDE BRIAND,AUCUN,1
5,ARISTIDE BRIAND(RUE)85 +  ET  98+,MOINS SECURISEE,1
6,ARNOUX AVENUE MAURICE AUTRES N°,VOIE SECURISEE,1
7,AVENUE CLAUDE VELLEFAUX,AUCUN,1
8,AVENUE CORENTIN CARIOU,MOINS SECURISEE,1
9,AVENUE D ITALIE,AUCUN,1
10,AVENUE D ITALIE,MOINS SECURISEE,1
11,AVENUE D ITALIE,VOIE SECURISEE,2
12,AVENUE D IVRY,AUCUN,1
13,AVENUE DAUMESNIL,VOIE SECURISEE,3
14,AVENUE DAVID WEILL,MOINS SECURISEE,1
15,AVENUE DE BRETEUIL,MOINS SECURISEE,2
16,AVENUE DE CHOISY,AUCUN,1
17,AVENUE DE CLICHY,AUCUN,1
18,AVENUE DE CLICHY,MOINS SECURISEE,1
19,AVENUE DE FLANDRE,MOINS SECURISEE,4
20,AVENUE DE FLANDRE,VOIE SECURISEE,1
21,AVENUE DE FRANCE,AUCUN,1
22,AVENUE DE L OPERA,AUCUN,1
23,AVENUE DE L OPERA,MOINS SECURISEE,1
24,AVENUE DE LA MOTTE PICQUET,AUCUN,1
25,AVENUE DE LA MOTTE PICQUET,MOINS SECURISEE,1
26,AVENUE DE LA PORTE BRANCION,VOIE SECURISEE,1
27,AVENUE DE LA PORTE D ASNIERES,MOINS SECURISEE,1
28,AVENUE DE LA PORTE DE CHAMPERRET,VOIE SECURISEE,1
29,AVENUE DE LA PORTE DE CLICHY,MOINS SECURISEE,1
30,AVENUE DE LA PORTE DE CLIGNANCOURT,AUCUN,1
31,AVENUE DE LA PORTE DE MONTMARTRE,AUCUN,2
32,AVENUE DE LA PORTE DE MONTMARTRE,VOIE SECURISEE,1
33,AVENUE DE LA PORTE DE MONTROUGE,MOINS SECURISEE,1
34,AVENUE DE LA PORTE DE PANTIN,VOIE SECURISEE,1
35,AVENUE DE LA PORTE DE VITRY,VOIE SECURISEE,3
36,AVENUE DE LA REPUBLIQUE,VOIE SECURISEE,11
37,AVENUE DE LOWENDAL,MOINS SECURISEE,2
38,AVENUE DE MARIGNY,VOIE SECURISEE,1
39,AVENUE DE NEW YORK,MOINS SECURISEE,2
40,AVENUE DE NEW YORK,VOIE SECURISEE,1
41,AVENUE DE SAINT CLOUD,MOINS SECURISEE,1
42,AVENUE DE SAINT OUEN,VOIE SECURISEE,1
43,AVENUE DE SUFFREN,AUCUN,1
44,AVENUE DE VERSAILLES,MOINS SECURISEE,3
45,AVENUE DE VILLARS,MOINS SECURISEE,1
46,AVENUE DE VILLIERS,MOINS SECURISEE,4
47,AVENUE DE WAGRAM,AUCUN,3
48,AVENUE DE WAGRAM,MOINS SECURISEE,2
49,AVENUE DE WAGRAM,VOIE SECURISEE,1
50,AVENUE DENFERT ROCHEREAU,MOINS SECURISEE,3
51,AVENUE DES CHAMPS ELYSEES,AUCUN,2
52,AVENUE DES CHAMPS ELYSEES,MOINS SECURISEE,2
53,AVENUE DES CHAMPS ELYSEES,VOIE SECURISEE,1
54,AVENUE DES GOBELINS,MOINS SECURISEE,1
55,AVENUE DES TERNES,AUCUN,1
56,AVENUE DU COLONEL HENRI ROL TANGUY,MOINS SECURISEE,1
57,AVENUE DU GENERAL LECLERC,AUCUN,2
58,AVENUE DU GENERAL LECLERC,MOINS SECURISEE,5
59,AVENUE DU GENERAL LECLERC,VOIE SECURISEE,1
60,AVENUE DU MAINE,AUCUN,2
61,AVENUE DU MAINE,MOINS SECURISEE,2
62,AVENUE DU PERE LACHAISE,AUCUN,1
63,AVENUE DU PRESIDENT WILSON,MOINS SECURISEE,1
64,AVENUE DU TRONE,AUCUN,1
65,AVENUE DUQUESNE,MOINS SECURISEE,1
66,AVENUE EMILE ZOLA,AUCUN,1
67,AVENUE EMILE ZOLA,VOIE SECURISEE,1
68,AVENUE FELIX FAURE,AUCUN,1
69,AVENUE FOCH,MOINS SECURISEE,2
70,AVENUE GAMBETTA,AUCUN,1
71,AVENUE GAMBETTA,VOIE SECURISEE,5
72,AVENUE GENERAL LEMONNIER,MOINS SECURISEE,1
73,AVENUE JEAN JAURES,VOIE SECURISEE,9
74,AVENUE JEAN MOULIN,VOIE SECURISEE,1
75,AVENUE LEDRU ROLLIN,AUCUN,2
76,AVENUE LEDRU ROLLIN,MOINS SECURISEE,1
77,AVENUE LEDRU ROLLIN,VOIE SECURISEE,1
78,AVENUE MAC MAHON,AUCUN,1
79,AVENUE MATHURIN MOREAU,VOIE SECURISEE,1
80,AVENUE MAURICE D OCAGNE,AUCUN,1
81,AVENUE MOZART,MOINS SECURISEE,1
82,AVENUE NIEL,AUCUN,2
83,AVENUE NIEL,MOINS SECURISEE,1
84,AVENUE PARMENTIER,AUCUN,4
85,AVENUE PARMENTIER,MOINS SECURISEE,1
86,AVENUE PAUL DOUMER,AUCUN,2
87,AVENUE PHILIPPE AUGUSTE,AUCUN,3
88,AVENUE PHILIPPE AUGUSTE,VOIE SECURISEE,1
89,AVENUE REILLE,AUCUN,1
90,AVENUE SECRETAN,VOIE SECURISEE,1
91,AVENUE SIMON BOLIVAR,MOINS SECURISEE,2
92,AVENUE STEPHANE MALLARME,MOINS SECURISEE,1
93,AVENUE THEOPHILE GAUTIER,AUCUN,1
