,name,mois_annee_comptage,sum_counts
165,Voie Georges Pompidou,2018-01-01,6075.0
140,97 Avenue Denfert Rochereau SO-NE,2018-01-01,12034.0
102,39 Quai François Mauriac,2018-01-01,22615.0
33,106 Avenue Denfert Rochereau NE-SO,2018-01-01,12054.0
45,135 Avenue Daumesnil SE-NO,2018-01-01,18903.0
21,105 Rue La Fayette E-O,2018-01-01,30167.0
7,100 Rue La Fayette O-E,2018-01-01,17819.0
88,28 Boulevard Diderot,2018-01-01,13796.0
76,27 Boulevard Diderot E-O,2018-01-01,12607.0
60,18 quai de l'hotel de ville,2018-01-01,27567.0
49,135 Avenue Daumesnil SE-NO,2018-02-01,14251.0
169,Voie Georges Pompidou,2018-02-01,2275.0
64,18 quai de l'hotel de ville,2018-02-01,22360.0
37,106 Avenue Denfert Rochereau NE-SO,2018-02-01,9642.0
92,28 Boulevard Diderot,2018-02-01,10739.0
144,97 Avenue Denfert Rochereau SO-NE,2018-02-01,8747.0
25,105 Rue La Fayette E-O,2018-02-01,20833.0
106,39 Quai François Mauriac,2018-02-01,17376.0
80,27 Boulevard Diderot E-O,2018-02-01,9395.0
11,100 Rue La Fayette O-E,2018-02-01,13278.0
26,105 Rue La Fayette E-O,2018-03-01,30474.0
12,100 Rue La Fayette O-E,2018-03-01,18010.0
81,27 Boulevard Diderot E-O,2018-03-01,14651.0
107,39 Quai François Mauriac,2018-03-01,24749.0
50,135 Avenue Daumesnil SE-NO,2018-03-01,21653.0
38,106 Avenue Denfert Rochereau NE-SO,2018-03-01,13268.0
145,97 Avenue Denfert Rochereau SO-NE,2018-03-01,12851.0
170,Voie Georges Pompidou,2018-03-01,17421.0
65,18 quai de l'hotel de ville,2018-03-01,25144.0
93,28 Boulevard Diderot,2018-03-01,15559.0
51,135 Avenue Daumesnil SE-NO,2018-04-01,29096.0
94,28 Boulevard Diderot,2018-04-01,19605.0
66,18 quai de l'hotel de ville,2018-04-01,31958.0
82,27 Boulevard Diderot E-O,2018-04-01,18128.0
171,Voie Georges Pompidou,2018-04-01,29823.0
108,39 Quai François Mauriac,2018-04-01,32792.0
39,106 Avenue Denfert Rochereau NE-SO,2018-04-01,16295.0
13,100 Rue La Fayette O-E,2018-04-01,23750.0
27,105 Rue La Fayette E-O,2018-04-01,35930.0
146,97 Avenue Denfert Rochereau SO-NE,2018-04-01,15779.0
83,27 Boulevard Diderot E-O,2018-05-01,20803.0
52,135 Avenue Daumesnil SE-NO,2018-05-01,33336.0
40,106 Avenue Denfert Rochereau NE-SO,2018-05-01,19182.0
28,105 Rue La Fayette E-O,2018-05-01,39812.0
147,97 Avenue Denfert Rochereau SO-NE,2018-05-01,17224.0
67,18 quai de l'hotel de ville,2018-05-01,36245.0
109,39 Quai François Mauriac,2018-05-01,36584.0
14,100 Rue La Fayette O-E,2018-05-01,24009.0
172,Voie Georges Pompidou,2018-05-01,35926.0
95,28 Boulevard Diderot,2018-05-01,21782.0
119,67 boulevard Voltaire SE-NO,2018-06-01,4100.0
173,Voie Georges Pompidou,2018-06-01,38182.0
133,72 boulevard Voltaire NO-SE,2018-06-01,6412.0
110,39 Quai François Mauriac,2018-06-01,36655.0
84,27 Boulevard Diderot E-O,2018-06-01,22643.0
68,18 quai de l'hotel de ville,2018-06-01,38236.0
15,100 Rue La Fayette O-E,2018-06-01,26023.0
96,28 Boulevard Diderot,2018-06-01,22467.0
29,105 Rue La Fayette E-O,2018-06-01,45359.0
53,135 Avenue Daumesnil SE-NO,2018-06-01,34957.0
41,106 Avenue Denfert Rochereau NE-SO,2018-06-01,19785.0
148,97 Avenue Denfert Rochereau SO-NE,2018-06-01,18222.0
120,67 boulevard Voltaire SE-NO,2018-07-01,27276.0
111,39 Quai François Mauriac,2018-07-01,36975.0
30,105 Rue La Fayette E-O,2018-07-01,47941.0
69,18 quai de l'hotel de ville,2018-07-01,38910.0
97,28 Boulevard Diderot,2018-07-01,21370.0
42,106 Avenue Denfert Rochereau NE-SO,2018-07-01,18450.0
134,72 boulevard Voltaire NO-SE,2018-07-01,41780.0
3,10  avenue de la Grande Armée SE-NO,2018-07-01,1382.0
149,97 Avenue Denfert Rochereau SO-NE,2018-07-01,18312.0
16,100 Rue La Fayette O-E,2018-07-01,26393.0
126,7 Avenue de la Grande Armée NO-SE,2018-07-01,1860.0
174,Voie Georges Pompidou,2018-07-01,40025.0
54,135 Avenue Daumesnil SE-NO,2018-07-01,34677.0
85,27 Boulevard Diderot E-O,2018-07-01,21425.0
112,39 Quai François Mauriac,2018-08-01,30051.0
98,28 Boulevard Diderot,2018-08-01,14794.0
86,27 Boulevard Diderot E-O,2018-08-01,18194.0
150,97 Avenue Denfert Rochereau SO-NE,2018-08-01,13452.0
121,67 boulevard Voltaire SE-NO,2018-08-01,24092.0
127,7 Avenue de la Grande Armée NO-SE,2018-08-01,9860.0
135,72 boulevard Voltaire NO-SE,2018-08-01,32821.0
17,100 Rue La Fayette O-E,2018-08-01,23246.0
31,105 Rue La Fayette E-O,2018-08-01,35845.0
55,135 Avenue Daumesnil SE-NO,2018-08-01,29340.0
70,18 quai de l'hotel de ville,2018-08-01,32932.0
175,Voie Georges Pompidou,2018-08-01,27805.0
43,106 Avenue Denfert Rochereau NE-SO,2018-08-01,14889.0
4,10  avenue de la Grande Armée SE-NO,2018-08-01,8030.0
18,100 Rue La Fayette O-E,2018-09-01,32139.0
151,97 Avenue Denfert Rochereau SO-NE,2018-09-01,21476.0
122,67 boulevard Voltaire SE-NO,2018-09-01,45831.0
176,Voie Georges Pompidou,2018-09-01,52874.0
44,106 Avenue Denfert Rochereau NE-SO,2018-09-01,24688.0
5,10  avenue de la Grande Armée SE-NO,2018-09-01,12009.0
71,18 quai de l'hotel de ville,2018-09-01,47141.0
99,28 Boulevard Diderot,2018-09-01,0.0
32,105 Rue La Fayette E-O,2018-09-01,56431.0
113,39 Quai François Mauriac,2018-09-01,46905.0
87,27 Boulevard Diderot E-O,2018-09-01,26837.0
136,72 boulevard Voltaire NO-SE,2018-09-01,59654.0
128,7 Avenue de la Grande Armée NO-SE,2018-09-01,17154.0
56,135 Avenue Daumesnil SE-NO,2018-09-01,43362.0
34,106 Avenue Denfert Rochereau NE-SO,2018-10-01,23782.0
46,135 Avenue Daumesnil SE-NO,2018-10-01,42086.0
130,72 boulevard Voltaire NO-SE,2018-10-01,64257.0
22,105 Rue La Fayette E-O,2018-10-01,61689.0
141,97 Avenue Denfert Rochereau SO-NE,2018-10-01,21432.0
103,39 Quai François Mauriac,2018-10-01,48031.0
77,27 Boulevard Diderot E-O,2018-10-01,27043.0
166,Voie Georges Pompidou,2018-10-01,47932.0
123,7 Avenue de la Grande Armée NO-SE,2018-10-01,18064.0
116,67 boulevard Voltaire SE-NO,2018-10-01,53528.0
8,100 Rue La Fayette O-E,2018-10-01,34349.0
89,28 Boulevard Diderot,2018-10-01,21114.0
61,18 quai de l'hotel de ville,2018-10-01,45548.0
0,10  avenue de la Grande Armée SE-NO,2018-10-01,10184.0
19,102 Bd magenta SE-NO,2018-11-01,4623.0
117,67 boulevard Voltaire SE-NO,2018-11-01,43023.0
1,10  avenue de la Grande Armée SE-NO,2018-11-01,8203.0
131,72 boulevard Voltaire NO-SE,2018-11-01,50350.0
9,100 Rue La Fayette O-E,2018-11-01,25830.0
124,7 Avenue de la Grande Armée NO-SE,2018-11-01,12594.0
138,89 boulevard de Magenta NO-SE,2018-11-01,6782.0
177,face au 70 Quai de Bercy,2018-11-01,1168.0
78,27 Boulevard Diderot E-O,2018-11-01,20772.0
114,6 rue Julia Bartet,2018-11-01,4432.0
90,28 Boulevard Diderot,2018-11-01,25097.0
158,Face au 48 quai de la marne,2018-11-01,5241.0
156,Face au 25 quai de l'Oise,2018-11-01,5429.0
104,39 Quai François Mauriac,2018-11-01,37234.0
62,18 quai de l'hotel de ville,2018-11-01,33162.0
154,Face au 16 Avenue de la  Porte des Ternes O-E,2018-11-01,1129.0
58,16 Avenue de la Porte des Ternes E-O,2018-11-01,581.0
152,Face 104 Rue d'Aubervilliers,2018-11-01,1520.0
162,Pont du Garigliano NO-SE,2018-11-01,2741.0
35,106 Avenue Denfert Rochereau NE-SO,2018-11-01,18691.0
100,35 Boulevard de Menilmontant NO-SE,2018-11-01,0.0
167,Voie Georges Pompidou,2018-11-01,32934.0
142,97 Avenue Denfert Rochereau SO-NE,2018-11-01,16847.0
74,26 Boulevard de Ménilmontant SE-NO,2018-11-01,1851.0
23,105 Rue La Fayette E-O,2018-11-01,44716.0
47,135 Avenue Daumesnil SE-NO,2018-11-01,31035.0
118,67 boulevard Voltaire SE-NO,2018-12-01,35532.0
168,Voie Georges Pompidou,2018-12-01,24322.0
164,Pont du Garigliano SE-NO,2018-12-01,10772.0
178,face au 70 Quai de Bercy,2018-12-01,19744.0
163,Pont du Garigliano NO-SE,2018-12-01,18341.0
139,89 boulevard de Magenta NO-SE,2018-12-01,51672.0
155,Face au 16 Avenue de la  Porte des Ternes O-E,2018-12-01,7627.0
160,Pont National  NE-SO,2018-12-01,21421.0
157,Face au 25 quai de l'Oise,2018-12-01,37520.0
125,7 Avenue de la Grande Armée NO-SE,2018-12-01,10648.0
153,Face 104 Rue d'Aubervilliers,2018-12-01,14780.0
129,72 Bd Richard Lenoir  S-N,2018-12-01,31843.0
132,72 boulevard Voltaire NO-SE,2018-12-01,39900.0
115,6 rue Julia Bartet,2018-12-01,29679.0
137,77 Bd Richard Lenoir N-S,2018-12-01,27006.0
161,Pont National SO-NE,2018-12-01,6996.0
143,97 Avenue Denfert Rochereau SO-NE,2018-12-01,11665.0
159,Face au 48 quai de la marne,2018-12-01,50842.0
36,106 Avenue Denfert Rochereau NE-SO,2018-12-01,14755.0
105,39 Quai François Mauriac,2018-12-01,29001.0
57,152 Boulevard du Montparnasse,2018-12-01,24250.0
91,28 Boulevard Diderot,2018-12-01,19861.0
72,21 Boulevard Auguste Blanqui SO-NE,2018-12-01,7697.0
73,243 Boulevard Saint Germain NO-SE,2018-12-01,92813.0
59,16 Avenue de la Porte des Ternes E-O,2018-12-01,5616.0
48,135 Avenue Daumesnil SE-NO,2018-12-01,24759.0
2,10  avenue de la Grande Armée SE-NO,2018-12-01,6712.0
79,27 Boulevard Diderot E-O,2018-12-01,16033.0
6,10 Bd Auguste Blanqui NE-SO,2018-12-01,9119.0
10,100 Rue La Fayette O-E,2018-12-01,20127.0
20,102 Bd magenta SE-NO,2018-12-01,46351.0
75,26 Boulevard de Ménilmontant SE-NO,2018-12-01,36993.0
24,105 Rue La Fayette E-O,2018-12-01,41757.0
101,35 Boulevard de Menilmontant NO-SE,2018-12-01,31236.0
63,18 quai de l'hotel de ville,2018-12-01,24883.0
91,152 Boulevard du Montparnasse,2019-01-01,34742.0
166,27 Boulevard Diderot E-O,2019-01-01,18306.0
305,89 boulevard de Magenta NO-SE,2019-01-01,56930.0
317,97 Avenue Denfert Rochereau SO-NE,2019-01-01,12091.0
103,16 Avenue de la Porte des Ternes E-O,2019-01-01,6356.0
154,26 Boulevard de Ménilmontant SE-NO,2019-01-01,40709.0
329,Face 104 Rue d'Aubervilliers,2019-01-01,17713.0
419,Pont du Garigliano SE-NO,2019-01-01,15633.0
115,18 quai de l'hotel de ville,2019-01-01,25970.0
0,10  avenue de la Grande Armée SE-NO,2019-01-01,3150.0
341,Face au 16 Avenue de la  Porte des Ternes O-E,2019-01-01,8428.0
142,243 Boulevard Saint Germain NO-SE,2019-01-01,71033.0
130,21 Boulevard Auguste Blanqui SO-NE,2019-01-01,9489.0
353,Face au 25 quai de l'Oise,2019-01-01,42068.0
78,135 Avenue Daumesnil SE-NO,2019-01-01,27243.0
437,Voie Georges Pompidou,2019-01-01,27070.0
265,72 Bd Richard Lenoir  S-N,2019-01-01,42983.0
48,105 Rue La Fayette E-O,2019-01-01,46098.0
277,72 boulevard Voltaire NO-SE,2019-01-01,44565.0
453,face au 70 Quai de Bercy,2019-01-01,22609.0
378,Pont National  NE-SO,2019-01-01,27144.0
407,Pont du Garigliano NO-SE,2019-01-01,21644.0
36,102 Bd magenta SE-NO,2019-01-01,50325.0
239,67 boulevard Voltaire SE-NO,2019-01-01,39777.0
365,Face au 48 quai de la marne,2019-01-01,56733.0
227,6 rue Julia Bartet,2019-01-01,34063.0
197,35 Boulevard de Menilmontant NO-SE,2019-01-01,40119.0
390,Pont National SO-NE,2019-01-01,8838.0
60,106 Avenue Denfert Rochereau NE-SO,2019-01-01,15818.0
251,7 Avenue de la Grande Armée NO-SE,2019-01-01,13027.0
291,77 Bd Richard Lenoir N-S,2019-01-01,35360.0
180,28 Boulevard Diderot,2019-01-01,21540.0
12,10 Bd Auguste Blanqui NE-SO,2019-01-01,12209.0
24,100 Rue La Fayette O-E,2019-01-01,22679.0
212,39 Quai François Mauriac,2019-01-01,33514.0
295,77 Bd Richard Lenoir N-S,2019-02-01,41643.0
134,21 Boulevard Auguste Blanqui SO-NE,2019-02-01,10199.0
243,67 boulevard Voltaire SE-NO,2019-02-01,45646.0
255,7 Avenue de la Grande Armée NO-SE,2019-02-01,16335.0
441,Voie Georges Pompidou,2019-02-01,34596.0
146,243 Boulevard Saint Germain NO-SE,2019-02-01,23312.0
231,6 rue Julia Bartet,2019-02-01,38667.0
269,72 Bd Richard Lenoir  S-N,2019-02-01,48895.0
216,39 Quai François Mauriac,2019-02-01,38540.0
158,26 Boulevard de Ménilmontant SE-NO,2019-02-01,45507.0
281,72 boulevard Voltaire NO-SE,2019-02-01,49464.0
309,89 boulevard de Magenta NO-SE,2019-02-01,64346.0
201,35 Boulevard de Menilmontant NO-SE,2019-02-01,41283.0
423,Pont du Garigliano SE-NO,2019-02-01,17848.0
184,28 Boulevard Diderot,2019-02-01,24323.0
321,97 Avenue Denfert Rochereau SO-NE,2019-02-01,21940.0
170,27 Boulevard Diderot E-O,2019-02-01,20673.0
457,face au 70 Quai de Bercy,2019-02-01,28324.0
4,10  avenue de la Grande Armée SE-NO,2019-02-01,107.0
411,Pont du Garigliano NO-SE,2019-02-01,23931.0
82,135 Avenue Daumesnil SE-NO,2019-02-01,29996.0
333,Face 104 Rue d'Aubervilliers,2019-02-01,17648.0
64,106 Avenue Denfert Rochereau NE-SO,2019-02-01,17919.0
52,105 Rue La Fayette E-O,2019-02-01,46666.0
357,Face au 25 quai de l'Oise,2019-02-01,51055.0
16,10 Bd Auguste Blanqui NE-SO,2019-02-01,13581.0
382,Pont National  NE-SO,2019-02-01,31328.0
95,152 Boulevard du Montparnasse,2019-02-01,38094.0
107,16 Avenue de la Porte des Ternes E-O,2019-02-01,6712.0
369,Face au 48 quai de la marne,2019-02-01,72611.0
394,Pont National SO-NE,2019-02-01,11202.0
345,Face au 16 Avenue de la  Porte des Ternes O-E,2019-02-01,9092.0
28,100 Rue La Fayette O-E,2019-02-01,25083.0
40,102 Bd magenta SE-NO,2019-02-01,55375.0
119,18 quai de l'hotel de ville,2019-02-01,30608.0
232,6 rue Julia Bartet,2019-03-01,41550.0
256,7 Avenue de la Grande Armée NO-SE,2019-03-01,16950.0
395,Pont National SO-NE,2019-03-01,12912.0
244,67 boulevard Voltaire SE-NO,2019-03-01,52091.0
185,28 Boulevard Diderot,2019-03-01,26324.0
458,face au 70 Quai de Bercy,2019-03-01,30260.0
53,105 Rue La Fayette E-O,2019-03-01,53183.0
282,72 boulevard Voltaire NO-SE,2019-03-01,54193.0
202,35 Boulevard de Menilmontant NO-SE,2019-03-01,34745.0
442,Voie Georges Pompidou,2019-03-01,37690.0
383,Pont National  NE-SO,2019-03-01,33354.0
370,Face au 48 quai de la marne,2019-03-01,80999.0
217,39 Quai François Mauriac,2019-03-01,43103.0
29,100 Rue La Fayette O-E,2019-03-01,27085.0
270,72 Bd Richard Lenoir  S-N,2019-03-01,53550.0
41,102 Bd magenta SE-NO,2019-03-01,60548.0
17,10 Bd Auguste Blanqui NE-SO,2019-03-01,15078.0
135,21 Boulevard Auguste Blanqui SO-NE,2019-03-01,11614.0
65,106 Avenue Denfert Rochereau NE-SO,2019-03-01,19811.0
296,77 Bd Richard Lenoir N-S,2019-03-01,47226.0
310,89 boulevard de Magenta NO-SE,2019-03-01,70170.0
159,26 Boulevard de Ménilmontant SE-NO,2019-03-01,51183.0
5,10  avenue de la Grande Armée SE-NO,2019-03-01,214.0
108,16 Avenue de la Porte des Ternes E-O,2019-03-01,7214.0
412,Pont du Garigliano NO-SE,2019-03-01,25729.0
346,Face au 16 Avenue de la  Porte des Ternes O-E,2019-03-01,9860.0
96,152 Boulevard du Montparnasse,2019-03-01,40407.0
358,Face au 25 quai de l'Oise,2019-03-01,54989.0
424,Pont du Garigliano SE-NO,2019-03-01,19132.0
322,97 Avenue Denfert Rochereau SO-NE,2019-03-01,24107.0
83,135 Avenue Daumesnil SE-NO,2019-03-01,32998.0
120,18 quai de l'hotel de ville,2019-03-01,33621.0
171,27 Boulevard Diderot E-O,2019-03-01,22368.0
334,Face 104 Rue d'Aubervilliers,2019-03-01,19499.0
147,243 Boulevard Saint Germain NO-SE,2019-03-01,24048.0
245,67 boulevard Voltaire SE-NO,2019-04-01,52605.0
121,18 quai de l'hotel de ville,2019-04-01,39192.0
30,100 Rue La Fayette O-E,2019-04-01,24042.0
18,10 Bd Auguste Blanqui NE-SO,2019-04-01,14016.0
233,6 rue Julia Bartet,2019-04-01,46579.0
109,16 Avenue de la Porte des Ternes E-O,2019-04-01,7810.0
42,102 Bd magenta SE-NO,2019-04-01,63812.0
97,152 Boulevard du Montparnasse,2019-04-01,43972.0
