,name,mois_annee_comptage,sum_counts
0,10  avenue de la Grande Armée SE-NO,2018-07-01,1382.0
1,10  avenue de la Grande Armée SE-NO,2018-08-01,8030.0
2,10  avenue de la Grande Armée SE-NO,2018-09-01,12009.0
3,10  avenue de la Grande Armée SE-NO,2018-10-01,10184.0
4,10  avenue de la Grande Armée SE-NO,2018-11-01,8203.0
5,10  avenue de la Grande Armée SE-NO,2018-12-01,6712.0
6,10  avenue de la Grande Armée SE-NO,2019-01-01,3150.0
7,10  avenue de la Grande Armée SE-NO,2019-02-01,107.0
8,10  avenue de la Grande Armée SE-NO,2019-03-01,214.0
9,10  avenue de la Grande Armée SE-NO,2019-04-01,172.0
10,10  avenue de la Grande Armée SE-NO,2019-05-01,8468.0
11,10  avenue de la Grande Armée SE-NO,2019-06-01,10999.0
12,10  avenue de la Grande Armée SE-NO,2019-07-01,13956.0
13,10  avenue de la Grande Armée SE-NO,2019-08-01,11225.0
14,10  avenue de la Grande Armée SE-NO,2019-09-01,13217.0
15,10  avenue de la Grande Armée SE-NO,2019-10-01,8868.0
16,10  avenue de la Grande Armée SE-NO,2019-11-01,11138.0
17,10  avenue de la Grande Armée SE-NO,2019-12-01,19998.0
18,10 Bd Auguste Blanqui NE-SO,2018-12-01,9119.0
19,10 Bd Auguste Blanqui NE-SO,2019-01-01,12209.0
20,10 Bd Auguste Blanqui NE-SO,2019-02-01,13581.0
21,10 Bd Auguste Blanqui NE-SO,2019-03-01,15078.0
22,10 Bd Auguste Blanqui NE-SO,2019-04-01,14016.0
23,10 Bd Auguste Blanqui NE-SO,2019-05-01,16410.0
24,10 Bd Auguste Blanqui NE-SO,2019-06-01,18155.0
25,10 Bd Auguste Blanqui NE-SO,2019-07-01,21053.0
26,10 Bd Auguste Blanqui NE-SO,2019-08-01,16094.0
27,10 Bd Auguste Blanqui NE-SO,2019-09-01,25612.0
28,10 Bd Auguste Blanqui NE-SO,2019-10-01,21398.0
29,10 Bd Auguste Blanqui NE-SO,2019-11-01,18059.0
30,10 Bd Auguste Blanqui NE-SO,2019-12-01,41275.0
31,10 avenue de la Grande Armée,2021-12-01,13391.0
32,10 avenue de la Grande Armée,2022-01-01,13864.0
33,10 avenue de la Grande Armée,2022-02-01,14777.0
34,10 avenue de la Grande Armée,2022-03-01,18670.0
35,10 avenue de la Grande Armée,2022-04-01,19592.0
36,10 avenue de la Grande Armée,2022-05-01,23891.0
37,10 avenue de la Grande Armée,2022-06-01,22534.0
38,10 avenue de la Grande Armée,2022-07-01,22787.0
39,10 avenue de la Grande Armée,2022-08-01,17684.0
40,10 avenue de la Grande Armée,2022-09-01,24292.0
41,10 avenue de la Grande Armée,2022-10-01,24126.0
42,10 avenue de la Grande Armée,2022-11-01,20216.0
43,10 avenue de la Grande Armée,2022-12-01,15009.0
44,10 avenue de la Grande Armée,2023-01-01,5453.0
45,10 avenue de la Grande Armée SE-NO,2020-01-01,19004.0
46,10 avenue de la Grande Armée SE-NO,2020-02-01,12571.0
47,10 avenue de la Grande Armée SE-NO,2020-03-01,9053.0
48,10 avenue de la Grande Armée SE-NO,2020-04-01,3621.0
49,10 avenue de la Grande Armée SE-NO,2020-05-01,19369.0
50,10 avenue de la Grande Armée SE-NO,2020-06-01,26126.0
51,10 avenue de la Grande Armée SE-NO,2020-07-01,23422.0
52,10 avenue de la Grande Armée SE-NO,2020-08-01,15441.0
53,10 avenue de la Grande Armée SE-NO,2020-09-01,23728.0
54,10 avenue de la Grande Armée SE-NO,2020-10-01,16297.0
55,10 avenue de la Grande Armée SE-NO,2020-11-01,10107.0
56,10 avenue de la Grande Armée SE-NO,2020-12-01,10121.0
57,10 avenue de la Grande Armée SE-NO,2021-01-01,9975.0
58,10 avenue de la Grande Armée SE-NO,2021-02-01,11459.0
59,10 avenue de la Grande Armée SE-NO,2021-03-01,14335.0
60,10 avenue de la Grande Armée SE-NO,2021-04-01,13607.0
61,10 avenue de la Grande Armée SE-NO,2021-05-01,15055.0
62,10 avenue de la Grande Armée SE-NO,2021-06-01,20146.0
63,10 avenue de la Grande Armée SE-NO,2021-07-01,19021.0
64,10 avenue de la Grande Armée SE-NO,2021-08-01,14541.0
65,10 avenue de la Grande Armée SE-NO,2021-09-01,27046.0
66,10 avenue de la Grande Armée SE-NO,2021-10-01,23987.0
67,10 avenue de la Grande Armée SE-NO,2021-11-01,17928.0
68,10 avenue de la Grande Armée SE-NO,2021-12-01,13411.0
69,10 boulevard Auguste Blanqui,2021-12-01,22644.0
70,10 boulevard Auguste Blanqui,2022-01-01,23984.0
71,10 boulevard Auguste Blanqui,2022-02-01,24942.0
72,10 boulevard Auguste Blanqui,2022-03-01,30251.0
73,10 boulevard Auguste Blanqui,2022-04-01,28322.0
74,10 boulevard Auguste Blanqui,2022-05-01,32185.0
75,10 boulevard Auguste Blanqui,2022-06-01,32692.0
76,10 boulevard Auguste Blanqui,2022-07-01,27832.0
77,10 boulevard Auguste Blanqui,2022-08-01,22844.0
78,10 boulevard Auguste Blanqui,2022-09-01,35537.0
79,10 boulevard Auguste Blanqui,2022-10-01,31961.0
80,10 boulevard Auguste Blanqui,2022-11-01,31277.0
81,10 boulevard Auguste Blanqui,2022-12-01,21216.0
82,10 boulevard Auguste Blanqui,2023-01-01,8489.0
83,10 boulevard Auguste Blanqui NE-SO,2020-01-01,39059.0
84,10 boulevard Auguste Blanqui NE-SO,2020-02-01,20095.0
85,10 boulevard Auguste Blanqui NE-SO,2020-03-01,15265.0
86,10 boulevard Auguste Blanqui NE-SO,2020-04-01,7467.0
87,10 boulevard Auguste Blanqui NE-SO,2020-05-01,25163.0
88,10 boulevard Auguste Blanqui NE-SO,2020-06-01,35440.0
89,10 boulevard Auguste Blanqui NE-SO,2020-07-01,33683.0
90,10 boulevard Auguste Blanqui NE-SO,2020-08-01,23264.0
91,10 boulevard Auguste Blanqui NE-SO,2020-09-01,38884.0
92,10 boulevard Auguste Blanqui NE-SO,2020-10-01,28415.0
93,10 boulevard Auguste Blanqui NE-SO,2020-11-01,20918.0
94,10 boulevard Auguste Blanqui NE-SO,2020-12-01,18919.0
95,10 boulevard Auguste Blanqui NE-SO,2021-01-01,20030.0
96,10 boulevard Auguste Blanqui NE-SO,2021-02-01,16925.0
97,10 boulevard Auguste Blanqui NE-SO,2021-03-01,25312.0
98,10 boulevard Auguste Blanqui NE-SO,2021-04-01,23626.0
99,10 boulevard Auguste Blanqui NE-SO,2021-05-01,25567.0
100,10 boulevard Auguste Blanqui NE-SO,2021-06-01,31399.0
101,10 boulevard Auguste Blanqui NE-SO,2021-07-01,26009.0
102,10 boulevard Auguste Blanqui NE-SO,2021-08-01,20992.0
103,10 boulevard Auguste Blanqui NE-SO,2021-09-01,34850.0
104,10 boulevard Auguste Blanqui NE-SO,2021-10-01,31189.0
105,10 boulevard Auguste Blanqui NE-SO,2021-11-01,27229.0
106,10 boulevard Auguste Blanqui NE-SO,2021-12-01,22654.0
107,100 Rue La Fayette O-E,2018-01-01,17819.0
108,100 Rue La Fayette O-E,2018-02-01,13278.0
109,100 Rue La Fayette O-E,2018-03-01,18010.0
110,100 Rue La Fayette O-E,2018-04-01,23750.0
111,100 Rue La Fayette O-E,2018-05-01,24009.0
112,100 Rue La Fayette O-E,2018-06-01,26023.0
113,100 Rue La Fayette O-E,2018-07-01,26393.0
114,100 Rue La Fayette O-E,2018-08-01,23246.0
115,100 Rue La Fayette O-E,2018-09-01,32139.0
116,100 Rue La Fayette O-E,2018-10-01,34349.0
117,100 Rue La Fayette O-E,2018-11-01,25830.0
